Description,Actions,Objects
"cut out a chunk of your 5-minute bread dough , big enough to be the size somewhere in between a baseball and a softball",cut,"baseball, bread, chunk, minute, minute bread dough, size, softball"
with your fingers flatten the dough to fit on top of your pizza stone or cookie sheet,"fit, flatten","cookie, cookie sheet, dough, fingers, pizza, pizza stone, top"
"from this point on , the crust will remain on the stone or cookie sheet until the pizza is done","do, remain","cookie, cookie sheet, crust, pizza, point, stone"
"with a pastry brush , cover the top of the flattened dough with a thin layer of the olive oil",cover,"flattened dough, olive oil, pastry, pastry brush, thin layer, top"
turn the dough over and brush the other side with olive oil,"brush, turn","dough, olive oil, other side"
partially bake the dough for about 7 minutes and take it out of the oven,"bake, take","dough, minutes, oven"
"using a large spoon or a ladle , spread the pizza sauce on top of the partially-baked crust and cover it as evenly as possible to within one inch of the edges","bake, cover, spread, use","baked crust, edges, inch, ladle, large spoon, pizza, pizza sauce, top"
distribute the rest of the ingredients all over the top of the pizza sauce,distribute,"ingredients, pizza, pizza sauce, rest, top"
"be creative , my grandchildren like it when i make smiling faces with the pepperoni , black olives and the peppers","make, smile","black olives, grandchildren, pepperoni, peppers, smiling faces"
cover the top of the pizza completely with the mozzarella all the way to the edge,cover,"edge, mozzarella, pizza, top, way"
"place the pizza stone or cookie sheet in the 425 degree oven and bake for approximately 20 minutes or until the cheese is bubbly and the edges of the crust have turned a dark , golden brown","bake, place, turn","cheese, cookie, cookie sheet, crust, degree, edges, minutes, pizza, pizza stone"
"if the edges are very light , this may mean that the center of the crust is still raw",mean,"center, crust, edges"
take the pizza out of the oven and place it on a fire-resistant surface,"place, take","fire, oven, pizza, resistant surface"
"let it rest for approximately 10 minutes , slice and enjoy !","enjoy, let, rest","minutes, slice"
"cook oatmeal in amount of water called for on your oatmeal , and add the divinci syrup","add, call, cook","amount, divinci syrup, oatmeal, water"
slice the banana into the oatmeal so it can cook into the oats,"cook, slice","banana, oatmeal, oats"
"cook , over low heat , for 6-8 minutes , stirring frequently","cook, stir","low heat, minutes"
"add rest of ingredients , except the whipped topping","add, whip","ingredients, rest, whipped topping"
"bring to a gentle boil , and remove","bring, remove",gentle boil
top with a generous serving of chocolate flavored whipped topping which will melt into the oatmeal giving it a delicate but delicious chocolate flavor,"flavor, give, melt, whip","chocolate, delicate chocolate flavor, flavored whipped topping, generous serving, oatmeal, top"
in a saucepan melt butter over medium heat until sizzling,sizzle,"medium heat, melt butter, saucepan, saucepan melt"
if you are adding in the fresh garlic and a pinch of cayenne pepper then saute in butter for about 2 minutes but do not brown the garlic,"add, brown, saute","butter, cayenne, fresh garlic, garlic, minutes, pinch"
whisk in the flour and 1 / 2 tsp seasoned salt until creamed together and smooth,"cream, season, whisk","flour, seasoned salt, tsp"
"stir in the half and half , or milk a little at a time",stir,"half, milk, time"
increase heat to medium and constantly whisk until the mixture becomes thick and smooth,"become, increase, whisk","heat, medium, mixture"
place 2 tbsp butter in saucepan over med heat,,"med heat, place, saucepan, tbsp, tbsp butter"
"add the 2 tbsp minced onion , and cook until transparent","add, cook, mince","minced onion, tbsp, transparent"
"add spinach and water to pan , lower the heat , and cover","add, cover, lower, pan","heat, spinach, water"
stirring several times until the spinach is cooked,"cook, stir","several times, spinach"
"when the spinach is almost done , add the prepared white sauce , sour cream and parmesan cheese","add, do, prepare","parmesan cheese, prepared white sauce, sour cream, spinach"
"stir well , and simmer until completely blended","blend, simmer, stir",
season with more seasoned salt or white salt if desired and black pepper,desire,"black pepper, season, seasoned salt, white salt"
mix all ingredients in a glass bowl,mix,"glass, glass bowl, ingredients"
cover and chill for 24 hours before serving,"cover, serve","chill, hours"
in a blender combine coffee with ice cream and chocolate syrup,combine,"blender, blender combine coffee, chocolate, chocolate syrup, ice, ice cream"
add in sugar and blend slightly until combined,"add, blend, combine",sugar
place about 1 cup crushed ice in two large tall glasses,crush,"cup, ice, large tall glasses, place"
divide the mixture into the glasses,divide,"glasses, mixture"
top with a dollup of whipped cream,whip,"dollup, top, whipped cream"
preheat the oven to 180c / 350f,preheat,350f
"in a big bowl cream butter , sugar and vanilla",,"big bowl, bowl cream, cream butter, sugar, vanilla"
little by little add the milk and the eggs,add,"eggs, milk"
"in a second bowl mix flour , baking powder and starch",bake,"bowl, bowl mix, powder, second mix flour, starch"
add to the butter-mixture and stirr in until just blended,"add, blend, stirr","butter, butter mixture"
using 2 tablespoons drop 6 heaps of dough onto each paper-lined baking sheet,"drop, line, use","baking, dough, heaps, lined baking sheet, paper, tablespoons"
make sure to leave enough space in between the heaps as dough will spread during baking,"bake, leave, make, spread","dough, enough space, heaps"
bake for 15 minutes or until golden brown,,"bake, minutes"
transfer to a wire-rack and allow to cool,"allow, cool, transfer","wire, wire rack"
if using the glaze stir together icing sugar and lemon juice and spread this onto the even side of the amerikaner,"ice, spread, stir, use","amerikaner, even side, glaze, lemon, lemon juice, sugar"
idea: for children you can spread the curved side of the biscuit with a chocolate icing and stick slivered almonds into them to make them appear like little hedgehogs,"appear, ice, make, sliver, spread, stick","almonds, biscuit, children, chocolate, curved side, idea, little hedgehogs"
let cream cheese come to room temperature,"come, let, room","cream, cream cheese, temperature"
"mix cream cheese , green chiles , green onion and chicken until well blended","blend, mix","chicken, cream, cream cheese, green chiles, green onion"
cut two sides of the tortillas so you have two straight sides on each side,"cut, have","side, sides, straight sides, tortillas"
spread chicken mixture thinly on 3 / 4 of the tortilla,spread,"chicken, chicken mixture, tortilla"
roll tortilla up starting with the end you spread the chicken mixture on,"spread, start","chicken, chicken mixture, end, roll, roll tortilla"
seal the plain end with water,seal,"plain end, water"
heat oil to about 375-400 degrees,,"degrees, heat, heat oil"
drop burritos into hot oil and fry for about 2 minutes,drop,"fry, hot oil, minutes"
keep turning so they fry evenly,"fry, keep, turn",
"when they start to turn golden , they are done","do, start, turn",
drain on a paper plate covered with a paper towel,"cover, drain","paper, paper plate, paper towel"
"these are so easy and goes great with salsa , guacamole , or ranch dressing",go,"guacamole, ranch, ranch dressing, salsa"
"beat cream cheese , sugar , vanilla& salt until fluffy",beat,"cream, cream cheese, salt, sugar, vanilla"
cream butter in a small bowl with an electric mixer,,"cream, cream butter, electric mixer, small bowl"
transfer to blender or food processor,transfer,"blender, food, processor"
add remaining ingredients and blend well,"add, blend, remain",remaining ingredients
place butter in plastic wrap and form into a log shape or place in a ramekin and cover tightly,"cover, form","log, log shape, place, place butter, plastic wrap, ramekin"
bake 15 to 20 minutes in a 400 oven,,minutes
for the muffins: grain: use 2 to 2 1 / 2 cup of white flour,use,"cup, grain, muffins, white flour"
"substitute oatmeal , cornmeal , whole wheat flour , rye flour , or flake cereal for 1 cup of the white flour",,"cornmeal, cup, flake, flake cereal, rye, rye flour, wheat, white flour, whole wheat flour"
"substitute 1 cup leftover cooked oatmeal , rice or cornmeal for 1 / 2 cup of the white flour and decrease liquid to 1 / 2 cup","cook, decrease","cornmeal, cup, leftover, liquid, oatmeal, rice, white flour"
substitute buttermilk or sour milk,,"sour milk, substitute buttermilk"
or substitute fruit juice for part or all of the milk,,"fruit, milk, part, substitute, substitute fruit juice"
fat: use 1 / 4 cup vegetable oil or 4 tbsp melted butter or margarine,melt,"cup, fat use, margarine, melted butter, tbsp, vegetable, vegetable oil"
or substitute regular or crunch peanut butter for part or all of the fat,"crunch, substitute","fat, part, peanut, peanut butter"
"the fat can be reduced or omitted with fair results if using a ""wet addition","omit, reduce, use","fair results, fat, wet addition"
""" egg: use 1 egg",use,egg
substitute 1 heaping tbsp of soy flour and 1 tbsp of water,,"heaping, heaping tbsp, soy, soy flour, tbsp, water"
"if using a cooked grain , separate the egg , add the yolk to the batter , beat white until stiff , and fold into the batter","add, beat, fold, separate, use","batter, cooked grain, egg, yolk"
sweetener: use between 2 tbsp and 1 / 2 cup sugar,,"cup, cup sugar, sweetener, tbsp, use"
substitute up to 3 / 4 cup brown sugar,substitute,"brown sugar, cup"
or -- substitute up to 1 / 2 cup honey or molasses and decrease milk to 3 / 4 cup,"decrease, substitute","cup, cup honey, milk, molasses"
baking powder: use 2 teaspoons,"bake, use","powder, teaspoons"
"if using whole or cooked grains or more than 1 cup additions , increase to 3 teaspoons","increase, use","cup, cup additions, teaspoons, whole grains"
"if using buttermilk or sour milk , decrease to 1 tsp and add 1 / 2 tsp baking soda","add, bake, decrease, use","buttermilk, milk, soda, tsp"
"salt: use 1 / 2 tsp , or omit if you have a salt-restricted diet","have, omit, restrict","restricted diet, salt, tsp, use"
optional ingredients: the following ingredients are optional,follow,"following ingredients, optional ingredients"
"additions can be used in any combination , up to 1 1 / 2 cups total",use,"additions, combination, cups, cups total"
"if using more than 1 cup of wet additions , decrease the milk to 1 / 2 cup","decrease, use","cup, milk, wet additions"
"dry additions: nuts , sunflower seeds , raisins , coconut , and so on",,"coconut, dry additions, nuts, raisins, sunflower, sunflower seeds"
"moist additons: blueberries , chopped apple , shredded zucchini , shredded carrot , and so on","chop, shred","blueberries, chopped apple, moist, moist additons, shredded carrot, shredded zucchini"
"wet additions: pumpkin puree , applesauce , mashed potato , mashed bananas , mashed carrot , and so on",pumpkin,"applesauce, mashed bananas, mashed carrot, mashed potato, wet additions"
"if using 1 / 2 cup drained canned fruit or thawed shredded zucchini , substitute the syrup or zucchini liquid for all or part of the milk","can, drain, substitute, thaw, use","canned fruit, cup, milk, part, syrup, thawed shredded zucchini, zucchini"
"spices: use spices that complement the additions , such as 1 tsp cinnamon with 1 / 4 tsp nutmeg or cloves","clove, complement, use","additions, spices, tsp, tsp cinnamon, tsp nutmeg"
try 2 tsp grated orange or lemon peel,"grate, try","lemon, orange peel, tsp"
jellies and jam: fill cups half full with a plain batter,fill,"fill full cups, jellies, plain batter"
add 1 tsp jam or jelly and top with 2 more tbsp batter,add,"tbsp, tbsp batter, tsp, tsp jam"
nonsweet combinations: use only 2 tbsp sugar and no fruit,use,"fruit, nonsweet, nonsweet combinations, tbsp, tbsp sugar"
"add combinations of the following: 1 / 2 cup shredded cheese , 2 strips fried and crumbled bacon , 2 tbsp grated onion , 1 / 2 cup shredded zucchini , 2 tbsp parmesan cheese","add, crumble, follow, fry, shred","combinations, crumbled bacon, cup, grated onion, shredded cheese, shredded zucchini, strips, tbsp, tbsp parmesan cheese"
"spices could include parsley , marjoram , rosemary --",include,"marjoram, spices"
"alena kibbler's additions: hawaiian muffins: use 1 / 2 cup mashed banana , 1 / 2 cup drained crushed pineapple , and 1 / 2 cup flake coconut , and 1 tbsp vanilla or rum flavoring","drain, mash, tbsp, use","additions, crushed pineapple, cup, cup flake, hawaiian muffins, mashed banana, rum, rum flavoring, vanilla"
use the pineapple juice instead of milk,use,"milk, pineapple, pineapple juice"
"cherry vanilla chip muffins: 3 / 4 cup pitted chopped cherries , 3 / 4 cup vanilla chips , 1 tsp vanilla","chop, pit","cherry vanilla, chip muffins, chopped cherries, cup, cup vanilla chips, tsp, tsp vanilla, vanilla, vanilla chip"
"elvis muffins: use about 3 / 4 to 1 cup mashed banana , 1 / 2 cup chopped peanuts or walnuts","chop, mash, use","cup, elvis muffins, mashed banana, peanuts, walnuts"
and substitute 1 / 4 peanut butter for the oil,substitute,"oil, peanut, peanut butter"
mix ingredence together except everclear and pour in to a ceramic jug that light will not penetrate close with cork or lid put jug in a cool dark place for 1 month,"mix, penetrate, pour, put","ceramic jug, cool dark place, cork, everclear, ingredence, jug, lid, light, month"
after 1 month shake up mixture and strain with cloth add everclear and serve cold,"add, serve, shake, strain","cloth, everclear, mixture, month"
lightly grease and flour a 10 inch bundt pan,"flour, grease","bundt, inch"
"cream shortening , butter and sugar until light and fluffy with an electric mixer",,"butter, cream, cream shortening, electric mixer, light, sugar"
"add eggs one at a time , beating well after each addition","add, beat","addition, eggs, time"
"in another bowl , combine baking powder and flour","bake, combine","bowl, flour, powder"
"stir into creamed mixture alternately with the milk , starting and ending with flour","cream, end, start, stir","creamed mixture, flour, milk"
pour batter into prepared pan,,"pour, pour batter, prepared pan"
"bake in the preheated oven for 1 to 1 1 / 2 hours , or until a toothpick inserted into the center of the cake comes out clean","come, insert, oven","cake, center, hours, toothpick"
"allow cake to cool in pan for 10 minutes , then turn out onto a wire rack and cool completely","allow, cool, turn","cake, minutes, pan, wire, wire rack"
grease one 13x9 inch pan,grease,inch
"roll out first can of crescent dough into bottom of pan , and slightly up sides",roll,"bottom, crescent, crescent dough, pan, up sides"
"beat cream cheese , 1 cup of the sugar , and vanilla together",beat,"cream, cream cheese, cup, sugar, vanilla"
"microwave jam or preserves for 45 seconds , stirring once after twenty five seconds , to make it slightly liquid","make, preserve, stir","microwave, microwave jam, seconds"
"spread jam on top of cream cheese , taking care not to mix the two together but keeping them layered","keep, layer, mix, spread, take","care, cream, cream cheese, jam, top"
"with your hands , gently stretch second can of crescent dough and place on top of jam layer",stretch,"crescent, crescent dough, hands, jam, jam layer, place, second can, top"
"this does not have to cover perfectly , in fact , open seams here and there look quite pretty with the jam peeking through","cover, have, look, peek","fact, jam, open seams"
"mix melted butter , remaining 3 / 4 cup sugar , and cinnamon together , making sure to incorporate all the butter","incorporate, make, melt, mix, remain","butter, cinnamon, cup, cup sugar"
"gently spoon butter mixture over dough , spreading to cover","cover, spoon, spread","butter, butter mixture, dough"
"bake , uncovered , for 35 minutes , until top is browned nicely","brown, uncover","minutes, top"
"let it cool for fifteen minutes , cut and serve !","cool, cut, let, serve",minutes
"tastes best warm or room temp , but cold is delicious , too",taste,"room, warm temp"
"in a large skillet , cook bacon",cook,"bacon, large skillet"
set aside in a medium bowl,set,medium bowl
do not discard grease from skillet,discard,"grease, skillet"
"in same skillet with bacon grease brown beef , onion , celery , garlic powder and pepper",,"brown beef, celery, garlic powder, grease, onion, pepper, same skillet"
remove with slotted spoon to bowl with bacon,"bowl, remove","bacon, slotted spoon"
"be sure to remove all solids from skillet , leaving fat","leave, remove","fat, skillet, solids"
add tomatoes to the beef mixture,add,"beef, beef mixture, tomatoes"
"peel potatoes and cut into 1 / 2"" dice",cut,"dice, peel, peel potatoes"
"when fat in skillet is very hot again , fry potato cubes on all sides until well browned",brown,"potato cubes, sides, skillet"
remove to bowl with bacon and beef,"bowl, remove","bacon, beef"
"in soup pot , melt butter and add flour","add, melt","butter, flour, soup, soup pot"
whisk for 1 minute to cook flour,"cook, whisk","flour, minute"
add chicken broth and half-and-half,add,"chicken, chicken broth, half"
"cook , whisking constantly , until you see the first signs of thickening","see, whisk","cook, first signs, thickening"
"begin adding grated cheeses , a little at a time , whisking constantly , until soup is bubbling , creamy and thick","add, begin, bubble, whisk","grated cheeses, soup, time"
"add parsley , mustard and relish",add,"mustard, parsley, relish"
add bowl of bacon and beef mixture and potatoes,add,"bacon, beef, beef mixture, bowl, potatoes"
cover and let stand 5 minutes,"cover, stand",minutes
"over medium low heat melt butter and chocolate squares , take off heat",take,"butter, chocolate, heat, medium low heat melt, squares"
"add 1 / 3 of the sugar and 1 / 3 of the evaporated milk , mix with a whisk until smooth","add, evaporate, mix","evaporated milk, sugar, whisk"
"add remaining sugar and milk , stir until smooth","add, remain, stir","milk, remaining sugar"
return to heat and simmer for 8 to 10 minutes,"return, simmer","heat, minutes"
"pour into canning jars or other container , let cool and close jar","can, let, pour","canning jars, cool jar, other container"
place in a microwaveable safe bowl and sprinkle brown sugar and cinnamon in apple,sprinkle,"apple, brown sugar, cinnamon, microwaveable safe bowl, place"
stuff it with cranberries and oats and top it with butter,"stuff, top","butter, cranberries, oats"
cover with saran wrap and microwave for about 3 1 / 2 minutes,"cover, microwave","minutes, saran, saran wrap"
let it rest for about 2 minutes,"let, rest",minutes
chop the apple and add it to the dry instant oatmeal,"add, chop","apple, dry instant oatmeal, instant"
follow the packet directions and add the juice from the cooked apple to the bowl,"add, follow","bowl, cooked apple, juice, packet directions"
microwave about 1 1 / 2 minutes,microwave,minutes
cut off beet greens from the beets but leave about an inch or two of the tops on the beets,"cut, leave","beet, beet greens, beets, inch, tops"
option:mince removed beet tops to add later,"add, remove","beet, beet tops, mince, option"
"in a large pot , add beets and cover with cold water","add, cover","beets, cold water, large pot"
bring the water to a boil and boil this for about 15-25 minutes until the beets are cooked,"boil, bring, cook","beets, boil, minutes, water"
remove the beets from the water,remove,"beets, water"
save the water from the beets,save,"beets, water"
remove the skins from the beets,remove,"beets, skins"
"strain the""beet juice"" into a pot",strain,"pot, the""beet juice"
peel and grate the onion,"grate, peel",onion
put the grated onion and beets into the pot with the strained beet juice,put,"beet, beets, grated onion, pot, strained beet juice"
"option:you can add the finely chopped / minced beet tops , if you want to use them","add, chop, mince, use, want","beet, minced beet tops, option"
bring all to a quick boil,bring,quick boil
"add the salt , lemon juice , pepper , and honey , simmer until the honey has dissolved and all is well heated","add, dissolve, simmer","honey, lemon, lemon juice, pepper, salt"
"serve , garnished with a dollop of sour cream","garnish, serve","dollop, sour cream"
cut into bite sized cubes,cut,"bite, sized cubes"
"i always season my pork with salt , pepper and garlic powder to taste","season, taste","pepper, pork, powder, salt"
"put celery salt , brown sugar , chili powder and onion flakes in a big ziploc baggie",put,"big ziploc baggie, brown sugar, celery, celery salt, chili powder, onion, onion flakes"
in a casserole or oven proof dish add the soup and vinegar,add,"casserole, casserole dish, soup, vinegar"
add contents of baggie to dish,"add, dish","baggie, contents"
cover and bake 1 1 / 2 hours @350,"bake, cover",hours
baking time is alot -- it was very cooked so check after 1 hour,bake,"alot, cooked check, hour, time"
"nb: i like to use a fairly strong flavoured , but creamy blue cheese , like gorgonzola , but stilton is also nice","flavour, like, use",creamy blue cheese
"stock-wise , you may need a little more or less than in the ingredients list",need,"ingredients, ingredients list, stock"
bring stock up to a simmer,bring,"simmer, stock"
halve the leeks and remove any gritty bits from inside the rings,"halve, remove","gritty bits, leeks, rings"
"cut the leek into fine strips rather than semi-circles , of approx 1-2 inches in length",cut,"-, circles, fine strips, inches, leek, length, semi"
melt half the butter with the olive oil and cook the leeks for approx 10 minutes over a low-medium heat until soft and tinged with brown,"cook, melt, tinge","butter, leeks, low medium, medium heat, minutes, olive oil"
add bacon to pan and cook for about 5 minutes,"add, cook, pan","bacon, minutes"
"stir in garlic and rice , cook for a further minute or two , stirring the rice until it's coated in the butter and oil and starts to go slightly translucent","coat, cook, go, start, stir","butter, further minute, garlic, oil, rice"
"add the wine to the pan , turning up the heat to bubble most of it away","add, bubble, turn","heat, pan, wine"
"add a ladleful of hot stock to the leek and rice mixture at a time , stirring more or less constantly","add, stir","hot stock, ladleful, leek, mixture, rice, time"
add more stock each time that most of the liquid has been absorbed,"absorb, add","liquid, more stock, time"
"keep doing this for approximately 15 - 25 minutes , until the risotto is creamy , but the rice grains still have a slight bite","do, have, keep","minutes, rice, rice grains, risotto, slight bite"
"you'll need to start testing the rice after about 15 minutes , but it may take a little longer","need, start, take, test","minutes, rice"
"stir in the lemon juice , zest , remaining butter , parmesan and blue cheese","parmesan, remain, stir","blue cheese, lemon, lemon juice, remaining butter"
"leave the risotto for another 2 minutes until rich , creamy and luscious",leave,"minutes, risotto"
season to taste with black pepper and salt if needed,"need, taste","black pepper, salt, season"
preheat the oven to 325f,preheat,325f
mix together the dry ingredients in a large bowl,mix,"dry ingredients, large bowl"
"mix together the liquid ingredients in a smaller bowl , then stir them into the dry ingredients until completely blended","blend, mix, stir","dry ingredients, liquid ingredients, smaller bowl"
"knead the dough in the bowl for a couple minutes , then place on a sheet of foil and shape into a log about 6 to 8 inches long","knead, place","bowl, couple, dough, foil, inches, log, minutes, shape, sheet"
wrap the foil tightly around the log and twist the ends,"twist, wrap","ends, foil, log"
"slice or chop as desired , and serve immediately or store in the refrigerator or freezer","desire, serve, store","chop, freezer, refrigerator, slice"
preheat oven to 350 dg,"dg, preheat",
"peel eggplants , slice , sprinkle lightly with garlic salt and set aside about 15 minutes on paper towels","set, sprinkle","garlic salt, minutes, paper, paper towels, peel, peel eggplants, slice"
"saute onion in 1 t butter or oil , add ham and wine , and cook until wine nearly evaporates","add, cook, evaporate","ham, oil, saute, saute onion, t, t butter, wine"
add tomatoes and simmer 10 minutes,"add, simmer","minutes, tomatoes"
"meanwhile , pat eggplant dry , dust with flour and fry in 2 t butter or oil until golden",,"dust, flour, fry, oil, pat eggplant, t, t butter"
"layer eggplant , then a portion of ham mixture , another layer of eggplant , etc",,"eggplant, ham mixture, layer, layer eggplant, portion"
in greased casserole dish and cover with parmesan cheese,cover,"casserole, greased casserole dish, parmesan cheese"
mix all ingredients in blender until smooth,mix,"blender, ingredients"
"to start the sauce: heat a 2 1 / 2-quart nonreactive saucepan over medium heat and , when hot , add the oil","add, heat, start","medium heat, oil, quart nonreactive saucepan, sauce"
"when the oil is hot , stir in the onion , green and red pepper , celery and garlic",stir,"celery, garlic, oil, onion, pepper"
"cook until the vegetables are softened and fragrant , 4 to 5 minutes","cook, soften","minutes, vegetables"
"stir in the tomato puree , tomato paste , ketchup , vinegar , molasses and worcestershire sauce",stir,"ketchup, molasses, puree tomato paste, tomato, tomato puree, vinegar, worcestershire, worcestershire sauce"
"bring the mixture to a simmer , reduce heat to very low and simmer with the cover ajar for 1 hour","bring, reduce, simmer","cover, cover ajar, heat, hour, mixture, simmer"
"to saut the mushrooms: heat an 8 - 10 inch skillet over high heat and , when hot , add the olive oil","add, heat, saut, skillet","high heat, inch, mushrooms, olive oil"
"when the oil is hot , add the chopped mushrooms and cook , stirring frequently , until the mushrooms are golden , 2 to 3 minutes","add, chop, stir","chopped mushrooms, cook, golden minutes, mushrooms, oil"
remove from the heat and set aside,"remove, set",heat
"to finish the sauce: after the sauce has simmered 1 hour , add the sauted mushrooms , chopped plum tomatoes , oregano , better than bouillon seasoning and some freshly ground black pepper","add, chop, finish, saute, simmer","bouillon, bouillon seasoning, chopped plum tomatoes, ground, ground black pepper, hour, oregano, plum, sauce, sauted mushrooms"
return to a simmer and cook with the cover ajar for 30 minutes more,"cook, return","cover, cover ajar, minutes, simmer"
to brown ground meat: heat a 10-inch non-reactive deep-sided skillet over medium heat,heat,"brown ground meat, ground, inch, medium heat, non - reactive sided skillet"
"when hot , add the ground meat and break it up with a wooden spatula","add, break","ground, ground meat, wooden spatula"
"cook the meat until separated and no longer pink , about 4 minutes",cook,"meat, minutes"
then remove from the stove and drain out any excess fat from skillet,"drain, remove","excess fat, skillet, stove"
"return skillet to the stove , over low heat",return,"low heat, skillet, stove"
"stir in the sauce and bring the mixture to a gentle simmer , uncovered","bring, stir, uncover","gentle simmer, mixture, sauce"
"cook gently until the flavors mingle and the mixture is piping hot throughout , about 10 minutes","cook, mingle, pipe","flavors, minutes, mixture"
add some more freshly ground black pepper and serve immediately,"add, serve","black pepper, ground"
"to assemble sloppy joes and serve: while the sauce is simmering , open the hamburger buns and spread both opened sides lightly with butter","assemble, open, serve, simmer, spread","butter, hamburger, hamburger buns, opened sides, sauce, sloppy joes"
"lay the buns , buttered sides up , on a shallow baking sheet","butter, lie","baking, buns, shallow baking sheet, sides"
broil the buns until the buttered sides are nicely toasted,"broil, butter, toast","buns, buttered sides"
spoon the ground beef mixture lavishly over buns and serve hot,"serve, spoon","beef, buns, ground, ground beef mixture"
"if serving 4 , you will need 1 cup of sauce and 1 lb","need, serve","cup, sauce"
the remaining sauce can be frozen for later use and ease,"ease, freeze, remain","later use, remaining sauce"
freeze cooled sauce in tightly sealed containers,"cool, freeze, seal","cooled sauce, sealed containers"
measure 4 cups of water into saucepan and heat at med-high to gentle boil,"me, measure","cups, gentle boil, heat, saucepan, water"
"while waiting for water in saucepan to boil , whisk together 1 / 4 cup water with 2 1 / 2 t better than bouillon in a bowl until smooth","boil, wait, whisk","bouillon, bowl, cup, cup water, saucepan, t, water"
"whisk this mixture into the boiling water , stir while bringing to a gentle boil again","bring, stir, whisk","boiling, boiling water, gentle boil, mixture"
mix the corn starch with 1 / 2 cup cold water in a bowl or large measuring cup,mix,"bowl, cold water, corn, corn starch, cup, large measuring cup, measuring"
whisk well until the corn starch is thoroughly dissolved,"dissolve, whisk","corn, corn starch"
"gently pour the cornstarch mixture into the saucepan , adding a little bit at a time while you continue to whisk","add, continue, pour, whisk","cornstarch, cornstarch mixture, little bit, saucepan, time"
increase heat and whisk for 2 minutes until thickened,"increase, thicken, whisk","heat, minutes"
add these 3 ingredients to boxed caked mix,"add, cake","boxed caked mix, ingredients"
"combine brownie mix , water , oil , and eggs until moistened","combine, moisten","brownie, eggs, oil, water"
bake for 20-25 minutes in a 9x13 baking dish,bake,"bake, baking dish, minutes"
"remove brownies from oven , top with peanuts and peanut butter cups",remove,"brownies, butter cups, peanut, peanut butter, peanuts"
bake for 4-6 minutes more,,"bake, minutes"
"melt chocolate chips , peanut butter , and butter","butter, melt","chocolate, chocolate chips, peanut, peanut butter"
remove brownies from oven and pour chocolate-peanut butter mixture over hot brownies,"pour, remove","brownies, butter, chocolate, chocolate peanut, hot brownies, oven peanut butter mixture"
"refrigerate for two hours , then serve","refrigerate, serve",hours
"to make the fish: place the fish in a shallow baking dish and sprinkle with the lime juice , paprika , salt , black pepper , and chill powder","chill, make, place, sprinkle","baking, black pepper, fish, lime, lime juice, paprika, powder, salt, shallow baking dish"
"cover , refrigerate , and marinate for about 30 minutes","cover, marinate, refrigerate",minutes
preheat the grill to medium-high heat,preheat,"grill, high heat"
"lightly coat a 24' x 12"" piece of foil with olive oil cooking spray",coat,"cooking spray, foil, oil, olive oil cooking, piece"
place the fish in a single layer in the center of the foil,place,"center, fish, foil, single layer"
fold the foil over the and fold the ends upward to seal in the fish,"fold, seal","ends, fish, foil"
place the foil packet on the preheated grill,place,"foil, foil packet, preheated grill"
"cook for 7 to 10 minutes , or until the fish is opaque",cook,"fish, minutes"
to assemble the tacos: warp the tortillas in foil and place them on the grill to warm for 2 minutes,"assemble, place, warm, warp","foil, grill, minutes, tacos"
spread about one-eighth of the mashed avocado on each tortilla and top with one-eight of the the fish,spread,"eighth, fish, mashed avocado, top, tortilla"
"sprinkle each with cheese , salsa , cilantro , cabbage , and hot sauce , if desired","desire, sprinkle","cabbage, cheese, cilantro, hot sauce"
heat oil in dutch oven over medium heat,oven,"heat, heat oil, medium heat"
add onion to pan and saute until softened - about 3-5 minutes,"add, pan, soften","onion, saute, softened minutes"
"add oregano , basil and garlic , saute about 1 minute","add, saute","basil, garlic, minute, oregano"
"stir in squash , zucchini , carrot and corn",stir,"carrot, corn, squash, zucchini"
saute until veggies are tender -- about 5 minutes,,"minutes, saute, veggies"
"stir in broth bring to a boil , then reduce heat to low and simmer about 20 minutes","bring, reduce, simmer, stir","boil, broth, heat, minutes"
add pasta and beans to pan,"add, pan","beans, pasta"
cook about 10 minutes or until the pasta is tender,cook,"minutes, pasta"
"stir in spinach , add salt and pepper to taste","add, stir, taste","pepper, salt, spinach"
top with a dollop of pesto,,"dollop, pesto, top"
garnish with freshly ground black pepper,,"black pepper, ground"
"if you must have tomatoes -- add 3 cups tomato to 2 of the 6 cups of broth , process in blender / food processor until smooth","add, have","blender, broth, cups, cups tomato, food, food processor, process, tomatoes"
add an additional cup of chopped tomatoes to the soup,"add, chop","additional cup, chopped tomatoes, soup"
add boiling water to gelatin mix in large bowl,"add, gelatin","boiling, boiling water, gelatin mix, large bowl"
stir 2 minutes until completely dissolved,"dissolve, stir",minutes
stir 3 to 5 minutes or until gelatin is thickened,"stir, thicken",minutes
whisk in 1 / 3 cup cool whip until blended,"blend, whisk","cool whip, cup"
pour into 4 dessert dishes,pour,"dessert, dessert dishes"
refrigerate 30 minutes or until firm,refrigerate,"firm, minutes"
drop remaining cool whip by spoonfuls onto desserts to resemble ghosts,"drop, remain, resemble","desserts, ghosts, remaining cool whip, spoonfuls"
add chocolate chips for the eyes,add,"chocolate, chocolate chips, eyes"
how to thaw cool whip whipped topping:,whip,"cool whipped topping, whip"
the best way to thaw frozen cool whip whipped topping is in its container in the refrigerator,whip,"best way, container, cool whip, refrigerator, thaw whipped topping"
